!-- commentClosing
!DOCTYPE selfClosing
a normalClosing
abbr normalClosing
acronym normalClosing
address normalClosing
applet normalClosing
area selfClosing
article normalClosing
aside normalClosing
audio normalClosing
b normalClosing
base selfClosing
basefont normalClosing
bdi normalClosing
bdo normalClosing
big normalClosing
blockquote normalClosing
body normalClosing
br selfClosing
button normalClosing
canvas normalClosing
caption normalClosing
center normalClosing
cite normalClosing
code normalClosing
col selfClosing
colgroup normalClosing
data normalClosing
datalist normalClosing
dd normalClosing
del normalClosing
details normalClosing
dfn normalClosing
dialog normalClosing
dir normalClosing
div normalClosing
dl normalClosing
dt normalClosing
em normalClosing
embed selfClosing
fieldset normalClosing
figcaption normalClosing
figure normalClosing
font normalClosing
footer normalClosing
form normalClosing
frame normalClosing
frameset normalClosing
h1 normalClosing
h2 normalClosing
h3 normalClosing
h4 normalClosing
h5 normalClosing
h6 normalClosing
head normalClosing
header normalClosing
hr selfClosing
html normalClosing
i normalClosing
iframe normalClosing
img selfClosing
input normalClosing
ins normalClosing
kbd normalClosing
label normalClosing
legend normalClosing
li normalClosing
link selfClosing
main normalClosing
map normalClosing
mark normalClosing
meta selfClosing
meter normalClosing
nav normalClosing
noframes normalClosing
noscript normalClosing
object normalClosing
ol normalClosing
optgroup normalClosing
option normalClosing
output normalClosing
p normalClosing
param selfClosing
picture normalClosing
pre normalClosing
progress normalClosing
q normalClosing
rp normalClosing
rt normalClosing
ruby normalClosing
s normalClosing
samp normalClosing
script normalClosing
section normalClosing
select normalClosing
small normalClosing
source selfClosing
span normalClosing
strike normalClosing
strong normalClosing
style normalClosing
sub normalClosing
summary normalClosing
sup normalClosing
svg normalClosing
table normalClosing
tbody normalClosing
td normalClosing
template normalClosing
textarea normalClosing
tfoot normalClosing
th normalClosing
thead normalClosing
time normalClosing
title normalClosing
tr normalClosing
track selfClosing
tt normalClosing
u normalClosing
ul normalClosing
var normalClosing
video normalClosing
wbr selfClosing
